,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,2,34.49392425938585,5.87315283807478,0.8363232690124984,0.34427595138549805,42.552642313234315,6.523238636845529,0.7592176410491933,0.34427595138549805,combat,Random
Linear Regression,3,33.68581478206463,5.8039482063561385,0.8366858073379433,0.34445977210998535,46.74735344371242,6.837203627486344,0.7604450321819666,0.34445977210998535,combat,Random
Linear Regression,4,33.347183741027784,5.77470204781405,0.8346932803285135,0.33337879180908203,47.73239279352474,6.908863350329397,0.7764074447956988,0.33337879180908203,combat,Random
Ridge Regression,0,42.20827510076118,6.496789599545393,0.7864649708053448,0.2685270309448242,55.91004418546701,7.477301932212381,0.7552054186400041,0.2685270309448242,combat,Random
Ridge Regression,1,42.509115004211935,6.519901456633523,0.7915179852046051,0.45680999755859375,53.469106245205296,7.312257260600539,0.738948222615653,0.45680999755859375,combat,Random
Ridge Regression,2,43.86981628463451,6.6234293447303045,0.7918338295029618,0.5169088840484619,47.23307369189734,6.872632224402622,0.732733614511754,0.5169088840484619,combat,Random
Ridge Regression,3,42.01222261024641,6.481683624664691,0.7963180566680517,0.2680790424346924,57.38698746230055,7.575419952867336,0.7059226475514127,0.2680790424346924,combat,Random
Ridge Regression,4,42.8219977785436,6.543851906831602,0.7877252832645786,0.401993989944458,51.71625691084947,7.191401595714806,0.7577458545118736,0.401993989944458,combat,Random
Linear Regression,0,33.51993487803607,5.789640306447031,0.839002406357044,0.07835626602172852,44.77844493163703,6.6916698163938895,0.7608648168341853,0.07835626602172852,covbat,Stratified
Linear Regression,1,32.526092016123485,5.703165087574047,0.837895814693566,0.38007378578186035,51.15924139792849,7.152568867052486,0.7650635374463486,0.38007378578186035,covbat,Stratified
Linear Regression,2,32.73101199233988,5.72110234066302,0.8367118539946108,0.4466440677642822,48.05385408808968,6.9320887247704555,0.7796793994387101,0.4466440677642822,covbat,Stratified
Linear Regression,3,33.78841399327883,5.812780229225842,0.8382316490350459,0.3537290096282959,42.50455915421009,6.519552066991266,0.7700623415791835,0.3537290096282959,covbat,Stratified
Linear Regression,4,32.72622937906102,5.720684345343747,0.8381459115173933,0.38286805152893066,48.352324860811606,6.953583598462854,0.7715348686961327,0.38286805152893066,covbat,Stratified
Ridge Regression,0,42.72895766243411,6.536739069477541,0.7947711000169254,0.4485008716583252,50.489755344530046,7.105614353771956,0.7303640867666469,0.4485008716583252,covbat,Stratified
Ridge Regression,1,42.39343689380204,6.511024258425247,0.7887187447356752,0.5042948722839355,51.421206866586985,7.170858168070749,0.7638605242890751,0.5042948722839355,covbat,Stratified
Ridge Regression,2,41.36722283224296,6.431735600305951,0.7936276115370464,0.5151090621948242,57.5744285743948,7.587781531804589,0.7360288176421684,0.5151090621948242,covbat,Stratified
Ridge Regression,3,43.085237348552106,6.563934593561403,0.7937213685674812,0.5038609504699707,48.40132210634262,6.957105871434085,0.7381625197140349,0.5038609504699707,covbat,Stratified
Ridge Regression,4,41.733213565490004,6.46012488776262,0.793600076475228,0.23947882652282715,54.892382899801305,7.408939391019561,0.7406330408540616,0.23947882652282715,covbat,Stratified
Linear Regression,0,32.51681435440745,5.702351651240693,0.8354948434658881,0.3505549430847168,50.22035962502269,7.086632460133846,0.7801169344568067,0.3505549430847168,covbat,Random
Linear Regression,1,32.77945300883208,5.725334314154247,0.8392362107163334,0.3685476779937744,48.059101392534906,6.932467193758288,0.765361444784935,0.3685476779937744,covbat,Random
Linear Regression,2,34.04054263718199,5.834427361548174,0.8384746050348689,0.3629157543182373,41.98064844142148,6.479247521234351,0.7624542446130023,0.3629157543182373,covbat,Random
Linear Regression,3,33.13445140713145,5.756253243832437,0.8393589047536717,0.35391807556152344,46.62667776652127,6.8283729955620664,0.7610634299272154,0.35391807556152344,covbat,Random
Linear Regression,4,32.84050789732962,5.730663826933982,0.8372049443511482,0.379788875579834,47.70140439890396,6.906620331168057,0.7765526035428185,0.379788875579834,covbat,Random
Ridge Regression,0,41.92210163901604,6.474727920076337,0.7879127451662398,0.5061461925506592,54.83064881941821,7.404772030212558,0.7599314055463517,0.5061461925506592,covbat,Random
Ridge Regression,1,42.1185486871476,6.4898804832714445,0.7934334815089794,0.25671815872192383,52.862266749619764,7.270644177073979,0.7419109900908216,0.25671815872192383,covbat,Random
Ridge Regression,2,43.4651279638098,6.592808806859926,0.7937541114901117,0.5186491012573242,46.51404469125264,6.82012057747168,0.7368022102444196,0.5186491012573242,covbat,Random
Ridge Regression,3,41.497724599064014,6.441872755578459,0.7988124249315507,0.5132710933685303,57.05310175385432,7.553350366152382,0.7076336316874033,0.5132710933685303,covbat,Random
Ridge Regression,4,42.26579280335812,6.501214717524573,0.7904824702170633,0.5246758460998535,52.0322734797796,7.213339967018024,0.7562655400336191,0.5246758460998535,covbat,Random
