,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Ridge Regression,0,68.25899279022411,8.261900071425707,0.6657340500971711,0.23139619827270508,72.09314230967875,8.490768063589934,0.645847006247393,0.23139619827270508,combat,Random
Ridge Regression,1,68.14107587211383,8.25476080041777,0.6666326350634564,0.22535490989685059,73.14664969834561,8.55258146399937,0.6392175413327976,0.22535490989685059,combat,Random
Ridge Regression,2,69.00514678132231,8.306933656971283,0.6665072919515127,0.23480010032653809,68.45539082368444,8.27377730082726,0.6448254614684168,0.23480010032653809,combat,Random
Ridge Regression,3,65.69680588821356,8.105356616967175,0.664316036736835,0.21486401557922363,82.11428114528647,9.061693061745496,0.653622838268919,0.21486401557922363,combat,Random
Ridge Regression,4,68.88169525302668,8.29949969895937,0.6706376082162151,0.23790907859802246,68.97343622232802,8.305024757478332,0.6243169007862508,0.23790907859802246,combat,Random
Linear Regression,0,61.565056395561776,7.846340318617449,0.7034508207529296,0.012737035751342773,72.62005337344436,8.521740043761271,0.6177669662870403,0.012737035751342773,covbat,Stratified
Linear Regression,1,61.940777590618914,7.870246348788513,0.6997721820884975,0.27787208557128906,70.05654440462347,8.369978757716382,0.6408935160001292,0.27787208557128906,covbat,Stratified
Linear Regression,2,61.99650626197451,7.873786018299869,0.6982675937636628,0.28208374977111816,69.2601271337707,8.322266946798251,0.6511394784790406,0.28208374977111816,covbat,Stratified
Linear Regression,3,61.53706069963371,7.844556118712754,0.6934912838467426,0.28052568435668945,71.40797835780273,8.450324156965976,0.6714211083509793,0.28052568435668945,covbat,Stratified
Linear Regression,4,63.96451376420369,7.997781802737787,0.6805875702355314,0.287539005279541,61.62310244059471,7.850038371918618,0.7191349083063376,0.287539005279541,covbat,Stratified
Ridge Regression,0,67.10667126718864,8.191866165116997,0.6767577348029137,0.2102370262145996,74.73688744989857,8.645049881284583,0.6066250864160743,0.2102370262145996,covbat,Stratified
Ridge Regression,1,66.96480819675205,8.18320280799346,0.675420635261478,0.23870635032653809,76.16546289114328,8.727282675102444,0.6095794930579533,0.23870635032653809,covbat,Stratified
Ridge Regression,2,67.73814360572523,8.230318560403676,0.6703234698779446,0.026990175247192383,71.88773036334689,8.478663241534417,0.637904344918722,0.026990175247192383,covbat,Stratified
Ridge Regression,3,66.43187159909496,8.15057492445134,0.6691108180339552,0.22037196159362793,77.86805439979528,8.824287755949218,0.6416955136112654,0.22037196159362793,covbat,Stratified
Ridge Regression,4,69.38550963261416,8.329796494069598,0.6535173501998537,0.2241971492767334,65.39992033253694,8.087021722027025,0.7019209696775057,0.2241971492767334,covbat,Stratified
Linear Regression,0,62.43521911468265,7.901595985285672,0.6942532116039427,0.2770512104034424,67.50243356748763,8.21598646344355,0.6683985720746878,0.2770512104034424,covbat,Random
Linear Regression,1,62.73350617554964,7.9204486094885835,0.6930881501456896,0.28052473068237305,67.1856722810048,8.196686664805775,0.6686189711666581,0.28052473068237305,covbat,Random
Linear Regression,2,63.16746558519265,7.9477962722501045,0.694720029720052,0.29099273681640625,64.20503492272233,8.012804435572,0.6668780445821034,0.29099273681640625,covbat,Random
Linear Regression,3,60.19048055185192,7.758252416095517,0.6924511201238626,0.29864501953125,76.45887068557072,8.744076319747599,0.6774786766948157,0.29864501953125,covbat,Random
Linear Regression,4,62.84627796276625,7.927564440782948,0.6994963560567168,0.26051878929138184,65.8507018238302,8.114844534791175,0.641325746526044,0.26051878929138184,covbat,Random
Ridge Regression,0,67.90819899408316,8.240643117747739,0.6674518958592297,0.23824405670166016,71.26076297953722,8.441609027877163,0.6499360169669026,0.23824405670166016,covbat,Random
Ridge Regression,1,67.83120007165145,8.235969892590152,0.6681486439866442,0.2003781795501709,71.99348068939945,8.484897211481082,0.6449053363585734,0.2003781795501709,covbat,Random
Ridge Regression,2,68.50702325178396,8.276896957905418,0.6689146568011934,0.20889997482299805,68.63920359599739,8.284878007309304,0.6438717656995823,0.20889997482299805,covbat,Random
Ridge Regression,3,65.38627090439198,8.086177768537615,0.6659027442288015,0.17332983016967773,81.42048185108654,9.023329864916086,0.6565494452730137,0.17332983016967773,covbat,Random
Ridge Regression,4,68.38158854965789,8.26931608717782,0.6730289015687317,0.1886000633239746,69.04773604774829,8.309496738536474,0.6239122060194864,0.1886000633239746,covbat,Random
