,Fold,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
NB,4,0.06618569636135509,0.15229474219795291,0.06618569636135509,0.04277192348052066,0.08644612078100347,0.5890771830637342,0.19289495659554906,0.04082116600000063,0.010050251256281407,0.011838087638967036,0.010050251256281407,0.009424143656645173,0.004000342287034431,0.49679712798757514,0.00925409226190476,0.04082116600000063,combat,Random
SVM,0,0.9962347034828993,0.9963442053846799,0.9962347034828993,0.9962294759875792,0.9965440718451684,0.9991712196143326,0.9984110926821967,7.0932700839999825,0.01631116687578419,0.05057181421673266,0.01631116687578419,0.024267578008831225,0.0021828396453646287,0.4928543132768891,0.0015792169360346006,7.0932700839999825,covbat,Stratified
SVM,1,0.9956071540633825,0.9957527154092547,0.9956071540633825,0.9956125253890882,0.9961941660249755,0.99875770255551,0.9975939782406589,6.227092834000018,0.030112923462986198,0.07346477332913705,0.030112923462986198,0.040576590579346775,0.0052121201899656576,0.4943934888718027,0.004487226965256135,6.227092834000018,covbat,Stratified
SVM,2,0.9965484781926577,0.9965956484845451,0.9965484781926577,0.9965361409627103,0.9975294001385444,0.9984848744943526,0.9970338541531214,6.704358667000008,0.025094102885821833,0.05641294251830277,0.025094102885821833,0.031530144576929285,0.004206112824876786,0.4947845963960336,0.003852041526343622,6.704358667000008,covbat,Stratified
SVM,3,0.9956071540633825,0.9957150296878845,0.9956071540633825,0.9955715496677341,0.9960263873591388,0.9983815111222392,0.9968428346673925,6.223850208999977,0.02383939774153074,0.060296114911203756,0.02383939774153074,0.03344826853056964,0.00436205417361492,0.494355461638145,0.00340455950873748,6.223850208999977,covbat,Stratified
SVM,4,0.9956085319949812,0.9956902610879637,0.9956085319949812,0.9955767025827137,0.9973177149505674,0.9987405749570419,0.9975630458662502,7.098963749999996,0.032663316582914576,0.08133045503491483,0.032663316582914576,0.04481114106578892,0.006117223205071502,0.4955015561332647,0.006634992324885634,7.098963749999996,covbat,Stratified
NB,0,0.07028553498588014,0.2176800604792366,0.07028553498588014,0.0473153385906047,0.08963352720752307,0.5833192635942569,0.18134194859419675,0.04113858299996309,0.015056461731493099,0.009670855655799193,0.015056461731493099,0.011065023248948263,0.005825534759358288,0.4981992274623712,0.011950345849802372,0.04113858299996309,covbat,Stratified
NB,1,0.07467838092249765,0.06864276476494634,0.07467838092249765,0.043804436999963635,0.0843762360480074,0.5794199605307528,0.1734895988097881,0.04366525000000365,0.025094102885821833,0.01441224484289203,0.025094102885821833,0.01822035335209739,0.004904681467181467,0.49609141612127217,0.00762987012987013,0.04366525000000365,covbat,Stratified
NB,2,0.0674615625980546,0.12108471920200863,0.0674615625980546,0.04465485216067774,0.07963895107122945,0.5780004101490681,0.17071299640756735,0.04219304200000806,0.00878293601003764,0.006601811823356148,0.00878293601003764,0.005076516355131523,0.0027703887643249422,0.4986639083985796,0.01060946589106293,0.04219304200000806,covbat,Stratified
NB,3,0.06495136491998744,0.2364713045577336,0.06495136491998744,0.04445188497086942,0.07445012743734697,0.5772856673099536,0.1693290489385466,0.04254579199999853,0.0037641154328732747,0.006691248853948942,0.0037641154328732747,0.0038004836979251906,0.001585144927536232,0.4943542583633815,0.005925925925925926,0.04254579199999853,covbat,Stratified
NB,4,0.062107904642409034,0.1181907954071009,0.062107904642409034,0.03797504063226105,0.07219071074604716,0.5835037835193833,0.1818014178207264,0.04208725000000868,0.007537688442211055,0.011322236180904522,0.007537688442211055,0.007065106094737006,0.0034314823107926555,0.4963234865584627,0.008288976648351648,0.04208725000000868,covbat,Stratified
SVM,0,0.995293379353624,0.995581020663387,0.995293379353624,0.9953348801720445,0.9960225119931667,0.9990000451720871,0.9980835260902416,6.768670334000035,0.03889585947302384,0.11086460590852058,0.03889585947302384,0.05258985823784979,0.006419976740025049,0.495630695041191,0.005422802430849753,6.768670334000035,covbat,Random
SVM,1,0.9956071540633825,0.9957273576796273,0.9956071540633825,0.995607837263921,0.996416061948568,0.9987389635015194,0.9975567793016347,6.488312209000014,0.018820577164366373,0.03655122350804162,0.018820577164366373,0.02397292779352661,0.005901337863495434,0.5027529812789517,0.005698938748357743,6.488312209000014,covbat,Random
SVM,2,0.9949796046438657,0.9950718423282328,0.9949796046438657,0.9949035362435766,0.9965685397901429,0.9981689526401496,0.996429871240389,7.7903996250000205,0.013801756587202008,0.029385085846817337,0.013801756587202008,0.01854569251509265,0.0018309221189580934,0.491261230610859,0.0014754098360655738,7.7903996250000205,covbat,Random
SVM,3,0.9943520552243489,0.9945364656849806,0.9943520552243489,0.9942977600320533,0.996491310866507,0.99867082475153,0.9974446614583333,6.520823042000018,0.033877038895859475,0.06934744320843833,0.033877038895859475,0.04206708227205446,0.005711503651216041,0.4960285512442512,0.005261993774512185,6.520823042000018,covbat,Random
SVM,4,0.9943538268506901,0.9946365138054098,0.9943538268506901,0.9943838441669992,0.9965135049295581,0.9988002674256902,0.997702263199965,6.822265000000016,0.022613065326633167,0.05268808581916676,0.022613065326633167,0.030489978496602007,0.0031166571319603356,0.4933549371146134,0.0026233149509803924,6.822265000000016,covbat,Random
NB,0,0.061813617822403515,0.18629509368225114,0.061813617822403515,0.03966625902810784,0.0734762620988333,0.5759756188215158,0.16673468997033952,0.0408909999999878,0.011292346298619825,0.011672966089295125,0.011292346298619825,0.009646053653581883,0.0036068763687811304,0.5098167703670793,0.010387462000365225,0.0408909999999878,covbat,Random
NB,1,0.06463759021022905,0.12572872748945935,0.06463759021022905,0.04320635476509152,0.0778261104426259,0.5779479324950318,0.17065933864168836,0.041617666000036024,0.01756587202007528,0.015766890051177963,0.01756587202007528,0.014164834038264032,0.006230333475877002,0.5073415448223126,0.016694683554087084,0.041617666000036024,covbat,Random
NB,2,0.0671477878882962,0.18899957238197665,0.0671477878882962,0.0435749526667781,0.0785235854201456,0.5821618980154949,0.17906229615652625,0.04010099999999284,0.010037641154328732,0.066331519116419,0.010037641154328732,0.011285308744209029,0.003488493650247979,0.4986593035320671,0.0061566484517304185,0.04010099999999284,covbat,Random
NB,3,0.07059930969563853,0.1953974647471887,0.07059930969563853,0.044255950491685944,0.07653143936550993,0.5830627863192935,0.18080964633863778,0.041435124999964046,0.020075282308657464,0.1357514658033428,0.020075282308657464,0.017876066905747022,0.005824402519742242,0.49971026012507475,0.010547544420887572,0.041435124999964046,covbat,Random
NB,4,0.0671267252195734,0.17756454382703474,0.0671267252195734,0.04372696265736714,0.08090854559088634,0.5826773637979535,0.1800782418983839,0.04126225000004524,0.008793969849246231,0.014106245513280689,0.008793969849246231,0.01060271235696555,0.0029692634173055857,0.49338941087305765,0.0024266098484848485,0.04126225000004524,covbat,Random
